Execution Times,Deadline,Average
0.117,,
0.121,,
0.152,,
0.105,,
0.109,,
0.105,,
0.102,,
0.113,,
0.102,,
0.102,,
0.113,,
0.102,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.105,,
0.109,,
0.109,,
0.102,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.105,,
0.113,,
0.113,,
0.109,,
0.109,,
0.102,,
0.113,,
0.113,,
0.105,,
0.109,,
0.102,,
0.109,,
0.105,,
0.105,,
0.113,,
0.109,,
0.109,,
0.105,,
0.113,,
0.102,,
0.109,,
0.102,,
0.109,,
0.105,,
0.109,,
0.113,,
0.117,,
0.102,,
0.141,,
0.113,,
0.129,,
0.109,,
0.117,,
0.113,,
0.109,,
0.102,,
0.109,,
0.117,,
0.113,,
0.105,,
0.113,,
0.102,,
0.102,,
0.105,,
0.109,,
0.109,,
0.113,,
0.113,,
0.109,,
0.113,,
0.113,,
0.109,,
0.113,,
0.105,,
0.113,,
0.113,,
0.109,,
0.109,,
0.113,,
0.113,,
0.105,,
0.105,,
0.109,,
0.102,,
0.113,,
0.113,,
0.109,,
0.105,,
0.105,,
0.105,,
0.105,,
0.105,,
0.113,,
0.109,,
0.109,,
0.102,,
0.109,,
0.109,,
0.105,,
0.109,,
0.105,,
0.109,,
0.113,,
0.102,,
0.113,,
0.113,,
0.109,,
0.117,,
0.117,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.117,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.109,,
0.105,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.117,,
0.113,,
0.105,,
0.113,,
0.113,,
0.117,,
0.129,,
0.117,,
0.105,,
0.113,,
0.121,,
0.129,,
0.121,,
0.121,,
0.117,,
0.098,,
0.117,,
0.113,,
0.102,,
0.102,,
0.113,,
0.105,,
0.113,,
0.117,,
0.105,,
0.109,,
0.105,,
0.109,,
0.113,,
0.105,,
0.105,,
0.105,,
0.117,,
0.109,,
0.105,,
0.113,,
0.113,,
0.113,,
0.105,,
0.109,,
0.113,,
0.117,,
0.098,,
0.113,,
0.109,,
0.109,,
0.113,,
